Sentence	ACCURACY MENTION?	comments	Normalized Ann1	Normalized Ann2	Consistent?	Decision		
In support of our hypothesis , the results showed that the pharmacological inhibition of GSK-3b with LiCl could attenuate the adverse effect of DEX on myogenic differentiation.			Y	Y	TRUE	Y		
This study supports the hypothesis that greater childhood fitness is associated with a more flexible shift between reactive and proactive modes of cognitive control to adapt to varying task demands.			Y	Y	TRUE	Y		
However, more information is needed to test these hypotheses ; a study to generate more information on trypanosomes and host sharing between buffalo and cattle is currently underway.			Y	Y	TRUE	 		
Because this hypothesis relies upon information theory to quantify the cascading contributions of multiple control signals, we subsequently refer to it as the information cascade hypothesis. 2.	N			Y	FALSE	 		
Presentation of the Hypothesis 2.1.	N				TRUE			
Therefore, there were statistically significant differences of human-information interaction usage to different consumers with high or low level of need for cognition, hypothesis 4 was supported.			Y	Y	TRUE	Y		
We have taken as a hypothesis that drive involves activation of the ventral tegmental dopaminergic SEEKING system running from the midbrain through the lateral hypothalamus to the nucleus accumbens.	N				TRUE			
This hypothesis is not applicable to our case, as A. schmitti occurs in a base-level subterranean stream reach thus not corroborating adaptation to narrow spaces.	?		?	Y	FALSE	 		
Finally, because we were testing multiple hypotheses at once, we assessed the expected false positive ratio by calculating the false discovery rate (FDR).			Y	Y	TRUE	 		
In order to further test this hypothesis , we constructed an aibP non-polar mutant of B. melitensis (naibP).			Y	Y	TRUE	Y	testing	
Evidence supports the hypothesis that anemia or deficient iron status in early pregnancy, or even in the preconceptional period, is a risk factor for impaired fetal growth.			Y	Y	TRUE	Y		
Consistent with the hypothesis , closely spaced residues were processively deaminated by A3F NGM (Figure 7A– B).			Y	Y	TRUE	Y		
We suggest that research questions and hypotheses can be structured according to at least six domains of questions relating to the three main aspects of evidence proposed in Table 1.	N				TRUE			
The second hypothesis posits that changes in mortality rate are most closely tied to the population dynamics and effectiveness of tree enemies, regardless of the condition of their hosts.	N				TRUE			
Bioinformatics is needed to extract insights from experimental data and suggest new hypotheses but is incapable of evaluating the causal outcome of those hypotheses, which computational modeling can provide.	?		?	Y	FALSE	 		
To determine the distribution of the enrichment score under the null hypothesis of no enrichment, we generated 1,000 data sets with 2,217 randomly sampled 39UTR SNPs.			Y	Y	TRUE	Y	testing	
As predicted 20 years ago by Ringo and colleagues the hypothesis of neuronal interconnectivity as a function of brain size seems to be confirmed, at least for humans.			Y	Y	TRUE	Y		
Experiment 3 Another exclusive prediction of our hypothesis is that multiple attribute-pair representations are stored in memory, which could cause specific errors in a short-term memory task.	N				TRUE			
The hypothesis : markedness relations as a corollary of Zipf''s model of language 1 Markedness can be regarded as one of the main organizing principles of human language.	N				TRUE			
One interesting observation from the analysis is the relevance of ErbB4 in the early transition, suggesting the hypothesis that the ErbB4 pathway becomes deregulated in PCA individuals.			Y		FALSE	 		
While this pattern is consistent with the hypothesis that conceptualized size and strength are used to represent the relative formidability of a potential foe, two competing explanations also exist.			Y	Y	TRUE	Y		
In summary, affective disorder was associated with disrupted emotion regulation and not with initial processing of emotional stimuli, supporting hypothesis 2 rather than hypothesis 1. 3.3.			Y	Y	TRUE	Y		
In conclusion, our findings support the hypothesis that as exquisitely sensitive systemic mediators of inflammation, Hcy and CRP play important roles in the pathogenesis of PD.			Y	Y	TRUE	Y		
Possible scenarios of the transition from harmonic to chaotic states are studied, and various hypotheses of the mechanism of transition from regular flow to turbulence are also illustrated and discussed.	N				TRUE			
More extensive pulmonary bioassays especially utilizing human macrophage cell lines may also provide necessary support for the proposed source linkages, and the health effects hypothesis implicit in these preliminary findings.			Y	Y	TRUE	Y		
We suggest that it is reasonable hypothesis to let the value of Young''s modulus propagate throughout a specimen from values at specific points according to the physics of basic diffusion mechanics.	?		?	Y	FALSE	 		
If this hypothesis is true, males may be maximizing their reproductive output and minimizing their own risks (mortality through dispersal) by simply allowing females to find them.			Y	Y	TRUE	 		
The third hypothesis: The relationship between religious values and educational background The third hypothesis of this survey tries to find out the relationship between religious values and educational background.	N				TRUE			
These data corroborate the hypothesis that high concentrations of the TetR repressor is the main factor required to get good doxycycline regulation and not the number of TetO target sites.			Y	Y	TRUE	Y		
Recently, the hypothesis has been put forward that iron limits nitrogen fixation in the pelagic North Atlantic Ocean (Michaels et al. 1996).	N				TRUE			
This has given rise to the controversial hypothesis that paediatric NAFLD might, in fact, represent a group of related but pathophysiologically distinct clinical phenomenologies. 2.1.	N				TRUE			
For instance, an average co-ordination meeting at the federal FO may include 25 different governmental stakeholders ( hypotheses 2, 4, 5 and 6).	N				TRUE			
This hypothesis is used in Fluent in the k – ω and k – ε turbulence models because there is relatively low computational cost associated with the computation of turbulent viscosity.	N				TRUE			
Some remarks concerning the framing of hypotheses It is important to note that most hypotheses are framed, with exception to the North-South hypothesis, within a socialisation logic.	N				TRUE			
Moreover, the set of cytogenetic characteristics found in Aspidoras is not found in any other genera of Callichthyidae, which reinforces the hypothesis that this genus is monophyletic.			Y	Y	TRUE	Y		
In the context of the Budyko hypothesis , catchments with a larger snow ratio tend to yield more long-term mean annual runoff given the same other climatological and landscape properties.	?		?		FALSE	?		
Our experimental setting explored the hypothesis that an altered microenvironment, represented by the adenomatous polyps, could modify the differentiation program of BMSCs causing their involvement in cancer development.	N			Y	FALSE	Y	testing	
Consistent with the hypothesis , we observed a synergistic increase in the mutation rate in the frameshift reversion assays when the mlh2D mutation was combined with reduced expression of Pms1.			Y	Y	TRUE	Y		
We explore the hypothesis that the number of BMs plays an important role in transcriptional regulation, examining empirical data from transcriptional profiling of the CRP and ArcA regulons.	N			Y	FALSE	y	testing	
To corroborate this hypothesis , the measurement of the camera response was repeated at a second close-by wavelength clearly showing a shift in the maxima and minima, Figure 4e.			Y	Y	TRUE	Y		
Conclusions The hypothesis is not confirmed, because 12 years old pupils, regardless of gender, are tempted to underestimate the intensity of effort realized in physical education lessons.			Y	Y	TRUE	Y		
In the following pages, we will first define the concept of support for Europe and its dimensions, moving from the research questions exposed above to the specific research hypotheses .	N			Y	FALSE	 		
Grammatical significance rests on the hypothesis that the semantics of parts of discourse is solely expressed through words with lexical meaning, i.e. nouns, adjectives, verbs or adverbs.	N				TRUE			
The study randomly selects 102 firms listed on Tehran Stock Exchange and, using regression technique with Panel data, examines five different hypotheses over the period 2008-2012.			Y	Y	TRUE	Y	testing	
The zero hypotheses is the equal condition of averages of 2 portfolio of winner and loser, and 1 hypothesis or contrast of equality is the average return average of 2 portfolios.	N				TRUE			
Using Structural Equation Modeling (SEM), it is straightforward to test hypotheses of the equality of various correlation coefficients with any number of covariates across multiple groups.	?		?	Y	FALSE	 		
However, our overexpression and knockdown experiments designed to directly assess a causal relationship did not support the hypothesis that GSTA1 expression at high levels was a requisite condition for cellular differentiation.			Y	Y	TRUE	Y		
To test the first hypothesis , additional sampling (including other sites in the Amazon) is necessary to check if cytotype a is not yet fixed in the whole population.			Y	Y	TRUE	 		
Our hypothesis that unrequested findings in the lung, pleura and mediastinum might harbor possible prognostic factors was borne out by the observation that several chest diseases are associated with cardiovascular events.			Y	Y	TRUE	Y		
VBM and MTr are capable to detect the distribution of neurodegenerative alterations in the cortical GM of ALS patients, supporting the hypothesis of a multi-systemic involvement in ALS.			Y	Y	TRUE	Y		
The first hypothesis to attract widespread attention was that the mechanism of reciprocity, which had been posited to explain certain symbioses in nature, could be adapted to explain human ultrasociality.	?		?	Y	FALSE	 		
Another hypothesis might be that above a certain level of replicating mycobacteria, T-cell responses are not detectable in vitro as T-cells might be exhausted or sequestered at the site of infection.	N				TRUE			
However, risk aversion and temporal discounting are assessed annually in this cohort; therefore, future studies with multiple waves of preference assessments will be able to address these alternate hypotheses .	N			Y	FALSE	 		
However, we also noticed that the potentialsattract hypothesis still partially works, i.e. a few variations in mate preference and actual mate choice could be explained by the potentials-attract hypothesis .			Y	Y	TRUE	Y		
This illustrates the importance of weighing functional evidence against an appropriate null hypothesis , and we note that in many cases arriving at a quantitative evaluation of this kind can be very difficult.	?		?	Y	FALSE	 		
On the basis of the present research, it is difficult to make any conclusions with respect to the hypothesis that a few experiences with these drugs is detrimental to quality of life.	?		?		FALSE	 		
In the present study, we aimed at testing the hypothesis that activating the immune system may lead to a reduction in sperm quality through systemic oxidative stress and oxidative damage to sperm.			Y	Y	TRUE	Y	testing	
Discussion A combination of biological, immunological, biophysical, and proteomic methods was employed to test the hypothesis stating that EF-Tu is associated with OMVs and binds to fibronectin.			Y	Y	TRUE	Y	testing	
Notes: The CD test of Pesaran (2004) is defined under null hypothesis of the cross-sectional independence in the consumption-income ratios in eleven CEE countries.	N				TRUE			
These shifts towards the supernatant in the mutant mice are consistent with the hypothesis that AKAP5 plays a nonredundant role in targeting PKA to the PSD in both the striatum and hippocampus.			Y	Y	TRUE	Y		
This allowed us to evaluate each of the three hypotheses outlined in the introduction (Figure 1), thereby providing important information about how the abiotic environment might mediate species coexistence.	?	if evaluation included testing	?	Y	FALSE	Y		
One hypothesis is that individuals with Klinefelter syndrome and individuals with psychotic disorders might share some of the underlying brain dysfunctions that play a role in the development of psychotic or schizotypal symptoms.	N			Y	FALSE	 		
In the second year (25 hours) students applied the knowledge from the first year in real examples of research data to answer a research hypothesis and present the results and conclusions.	N			Y	FALSE	 		
Thus, this type of decision could be translated through the adoption of a general framework of agreement, leaving the concrete details for further elaboration (Descriptive hypotheses 3.2.3).	N			Y	FALSE	 		
Significance Tests of Discord with Previous Hypotheses Our results appear to contradict a number of prior hypotheses about phylogenetic relationships in Yponomeutoidea, including several depicted in Figure 1.			Y	Y	TRUE	Y		
Figure 2: A heterogeneous distribution of the initial instances for C-SVM, Hypothesis 1: the number of the positive instances is much greater than the number of negative instances.	?	what iplies the picture :-) ?	?		FALSE	 		
Scenario Hypothesis In this scenario, the hypothesis is that a transient condition strongly affects road traffic but only for a short duration (as when people leave a movie theatre).	N				TRUE			
The present study focused on empirical examination of the hypotheses about market orientation, its positive effects on frontline employee job satisfaction and customer evaluation of frontline employee attitude in Indian service context.			Y	Y	TRUE	Y	testing	
If there is a token that contains the same hypothesis for given time an output will be generated for further analysis where will be decided if the decoder will be set to initial state.	N				TRUE			
We constructed different hypotheses .	N				TRUE			
In terms of interview guides, the situation is similar, though perhaps slightly better, as the guides may be conceptualized systematically in advance in order to generate or exclude pertinent hypotheses .	N			Y	FALSE	 		
The most immediate issue is what underlies formal and natural languages, which from the evolutionary perspective we are now considering should be what has evolved, and furthermore optimally, by hypothesis .	N				TRUE			
It should be emphasized that requests must be based on a pathophysiological hypothesis , and that the partnership excludes high-throughput screening or the building of a common "non-used compounds" library.	N				TRUE			
Although I recognize that our data only demonstrate support for our hypotheses when examining common sources, I fail to see any of the aforementioned Podsakoff et al. explanations as possibilities here.			Y	Y	TRUE	Y		
We have found also some support for hypothesis number three, that is, attachment to the nation remains stronger than attachment to Europe (Table 4, third column).			Y	Y	TRUE	Y		
Defect: Each player in different projects in the results obeys normal distribution is based on the reality of bold hypothesis , without using computer simulation and determine whether the normal distribution test.	?		?	Y	FALSE	 		
Further sequencing of a wider range of AAV samples, ideally the whole genome including rep and host range studies on artificial AAV recombinants with the two dominant forms will test this hypothesis .			Y	Y	TRUE	Y	testing	
However the hypothesis that errors'' variance is constant was tested by a plot, it''s the horizontal axis of which was standardized predicted values and its vertical axis was standardized residual values.	?		?	Y	FALSE	Y	testing	
From what has been mentioned above, it is obvious that the basic ABE scheme and KP-ABE and CP-ABE schemes are different in complexity hypothesis , strategic flexibility, and applications.	N			?	FALSE	 		
These findings are consistent with the hypothesis that DEX leads to activation of TRPV1 receptors on glutamatergic terminals, resulting in a degree of heterosynaptic enhancement of GABA release in the DMV.			Y	Y	TRUE	Y		
Our main hypothesis is both absolute and relative HR slacks lead to increase the firm performance up to a certain level, thereafter firm performance will be declined (Curvilinear relationship).	?		?		FALSE	 		
Secondary hypotheses : 1.	N			Y	FALSE	 		
The neutral theory of biodiversity constitutes a reference null hypothesis for the interpretation of ecosystem dynamics and produces relatively simple analytical descriptions of basic system properties, which can be easily compared to observations.			Y	Y	TRUE	 		
Hypothesis testing was two-tailed.			Y	Y	TRUE	 		
Studies have explored the hypothesis that the MMP-9 functions as a key regulator of the malignant phenotype in patients with colorectal tumors presenting with overexpression of this protease relative to the adjacent normal tissues.			Y	Y	TRUE	Y	testing	
These findings also support the etiological hypothesis that depression and anxiety in these women are related to stress exposure later in life resulting in hypersecretion of CRH and down-regulation of adenohypophyseal CRH receptors.			Y	Y	TRUE	Y		
It was reported that children with ASD did not show cradling bias and it was concluded that the results support the hypothesis that leftward cradling characterized enhanced quality of caregiver-infant interaction and bonding.			Y	Y	TRUE	Y		
Empirical Data Analysis During the test whether order flow is endogenous in the contemporaneous regression, we fail to accept the hypothesis that the order flow is correlated with the regression residual term.			Y	Y	TRUE	Y		
This example shows that it is possible to provide evidence for an evolutionary hypothesis , but it also shows that an ambitious research program is necessary in order to create a satisfying nomological network.	?		?	Y	FALSE	 		
While this is consistent with our hypothesis and suggests possible reactivation of the memory trace, this finding has to be viewed with caution since it did not reach statistical significance in ROI analysis.			Y	Y	TRUE	Y		
A synthetic description of the used information, simplifying hypotheses and solving techniques is contained in the following paragraphs; the analytical procedures to calculate the model parameters are minutely described in the appendix .	N				TRUE			
It will be of interest to test this hypothesis , notably in the context of the welldocumented role of ROS in physiology and pathology and particularly in the process of cancer initiation and progression.	?		?	Y	FALSE	 		
However, while subinhibitory concentrations of antibiotics (SICA) are known to shift bacterial gene expression, specific hypotheses as to how SICA influence the ecology of natural populations are scarce.	N				TRUE			
In accordance with our hypothesis , the addition of 8 more challenging questions reduces the number of patients at the ceiling in the CatI scoring option (from 27 to 14%).			Y	Y	TRUE	Y		
This hypothesis was confirmed by the results obtained with MN-rgp120 produced from GnTI-deficient 293 cells, which limited the structure of glycans at PNGS to Man5GlcNAc2 (mannose-5) structures.			Y	Y	TRUE	Y		
Framework of theoretical concepts and research hypotheses Financial crisis: the financial crisis is a comprehensive term, which includes the existing of the crisis in variables of the financial part of the economy.	?		?		FALSE	 		
To assess this hypothesis , we focused on the external trade relations, and their linkages with the macroeconomic environment, rather than the competitiveness of a state explained by a detailed sectoral analysis.	N			Y	FALSE	Y	testing	
There is no single ''''right'''' way to describe or model biodiversity distributions – different hypotheses or management questions require different approaches, and each method of analysis describes different attributes of biodiversity.	N			Y	FALSE	 		
More and better controlled experiments are needed to validate the proposed hypotheses by Cooper (1974) and Durant and Shaw (2005) which so far are the most promising ideas.			Y	Y	TRUE	 		
However, in this case, we cannot conclude that the null hypothesis II is true, i.e. we cannot accept the null hypothesis II just because it is not rejected.	N			Y	FALSE	 		
These different tests are performed under the null hypothesis that the number of genes annotated by the term under consideration have the same probability of falling in the reference set and in the target set.	?		?	Y	FALSE	 		
Finally, a current mainstream hypothesis in cognitive neuroscience credits sleep and dreaming with a role in memory consolidation (for a recent review, see Diekelmann and Born, 2010 ).	N				TRUE			
Hence, we tested the hypothesis that multiple mitochondria-related genes encoded in the nucleus, each having a weak effect (hard to detect individually), can collectively influence type 2 diabetes.			Y	Y	TRUE	Y	testing	
This hypothesis invokes that the wobble cost may reduce the decoding efficiency and accuracy, and the anticodon wobble site of tRNA should be occupied by a nucleotide with low cost of wobble pairing.	N				TRUE			
These outcomes could be explained by hypotheses as a deviation of the substrate used for the production of energy from carbohydrates to lipids, and decreased insulin signaling to activate inflammatory pathways and stress kinases.	?	"could" is tricky	?	Y	FALSE	 		
In the modeling process, this study is based on the hypothesis that all pedestrian walking speeds obey geometrical distribution and discretize time to build the pedestrian flow rate prediction model for the downstream segments.	N				TRUE			
To assess the heterogeneity between studies a Cochran''s Chisquare test (Q-test) was made under the null hypothesis of homogeneity (significant heterogeneity if p,0.05).	?		?	Y	FALSE	 		
Conclusion The presented results of our analysis proved the hypothesis that the sustainable development of China''s industrial sector is influenced by various factors in the economic, social, resource, and environment subsystems.			Y	Y	TRUE	Y		
Given the explorative character of our study, the significance level of the results was not adjusted for multiple hypotheses (i.e., for all markers of Western Blotting in this investigation).	N			?	FALSE	 		
In the long-run, pass-through elasticities into intermediate goods are significantly different from zero in 4 out of 12 countries while we fail to reject complete pass-through hypothesis in 1 out of 12 countries.	N			Y	FALSE	 		
Bayes Mixture If our class of hypotheses is countable then we can use the weighted average of all our hypotheses by their respective priors as our best guess estimation ρ of the true environment μ.	N			?	FALSE	 		
Table 1 shows the top 20 protein hypotheses (potential causal drivers) ranked according to their Correctness score, i.e. the difference between the number of correctly and number of incorrectly explained transcripts.			Y	Y	TRUE	Y		
These results motivated our working hypothesis that the prediabetic and overt T2D might be characterised by two qualitatively different states and that IL-1b is a potential candidate for promoting the transition between these two states.	N				TRUE			
The main hypothesis of the model describes how the valence electrons become involved in a binding process when they are at very short distance giving rise to a new state or quasi-particle, called isoelectronium.	N	model			TRUE			
The refined model, MTBPROM2.0, can predict metabolic consequences of TF knockout or overexpression under different environmental conditions, and suggest hypotheses of underlying molecular mechanisms that contribute to consequent phenotypes.	N	model			TRUE			
Returning now to hypothesis 1 (the primary relationship between religiosity and youth functioning), all four outcomes demonstrated a "relative" effect as evidenced by the significant role of within-group religiosity.			Y		FALSE	Y		
This type of switching hypotheses is recommended provided that the impact of the switch on statistical issues and inference (e.g., appropriate statistical methods) on the assessment of treatment effect is well justified.	N				TRUE			
The majority of the data sets were normally distributed; therefore, a Student''s t-test was used to compare the data sets related to hypotheses 1, 2, 3, 5 and 6.	?		?	Y	FALSE	?		
Although the PCA analysis is not statistically robust due to the low number of samples, the plot does lend further credence to the hypothesis that Upper Roan aquifer discharge sustains dry season wetland outflow.			Y	Y	TRUE	Y		
These considerations render broad-scale investigations of finer detail differences in our data, such as single-nucleotide polymorphisms or particular alleles of known virulence factors, entirely unrealistic in the absence of specific a priori hypotheses .	N				TRUE			
But since this empirical question is not sufficient to sustain the NAIRU hypothesis , there emerges a second criterion: the prospect of finding a theoretical explanation for the variation of the NAIRU over time.			Y	Y	TRUE	Y		
HYPOTHESES DEVELOPMENT Five hypotheses have been constructed in the study to determine the relationship between the independent variables and the repurchase intention (dependent variable) with purchase satisfaction of consumers as a moderating variable.	N				TRUE			
As we can observe from the result of Table 5, by the means of Binomial Test in 1 dimension Alternative Hypothesis is accepted, and in 3 dimensions Null Hypothesis is accepted.	N			Y	FALSE	 		
This hypothesis predicts that premature transcription of the middle genes will cause premature entry into the first meiotic division (MI), loss of coordination with DNA synthesis and consequently a defect in meiosis.	N				TRUE			
Secondly, regarding the issue of interaction between the navigation and viewpoint factors, our results confirmed our hypothesis that active navigation is mainly beneficial in the ground-level mode for the egocentric frame-based recall tasks.			Y	Y	TRUE	Y		
For both courtship assay and video analysis (Figure 2), a Wilcoxon signed rank test was applied to test the null hypothesis of no preference (no difference from 50%).			Y	Y	TRUE	Y	testing	
Using START, hypotheses concerning local vs. global drivers of climate dynamics can be tested directly based on the paleoclimate data, because START models the propagation of local climate variability through advection and diffusion.			Y	Y	TRUE	 		
One hypothesis to explain the failure of our DC vaccination protocols to alter the course of FIV infection might be that DCs were not the ''''suitable'''' type, in terms of molecules expressed.			Y		FALSE	 		
To test this hypothesis , we relied on paternal age at twin birth (henceforth simply ''''paternal age'''') as a proxy of new mutations and used a better-controlled design than previous studies.			Y	Y	TRUE	Y	testing	
Contemporary clinical trials of treatments for patients with advanced NET are incorporating investigation of these hypotheses and have the potential to affect how disease progression and PFS in the NET population are defined in the future.	?		?	Y	FALSE	 		
The mixed assemblage of Late Cretaceous and Paleocene dinocysts preserved in the coquinite weakens the hypothesis that it is an end-K tsunamite deposit and suggests instead that it may result from a long-term transgressive lag.			Y	Y	TRUE	Y		
By extension, Exploratory Spatio-Temporal Data Mining (ESTDM) is the extraction of latent knowledge, relationships or patterns from spatial temporal datasets through analysis not governed by a particular hypothesis or aim.	N				TRUE			
Hypothesis (2): According to the Types of R&D, There is a Significant Difference in the Outcomes of Technology Transfer.	N				TRUE			
Consistent with this hypothesis , the staining of neural epithelium from wildtype or homozygous Shroom3m1Nisw embryos indicates that Shroom3 protein is expressed at approximately equal levels and exhibits similar subcellular distribution (Fig. 1C).			Y	Y	TRUE	Y		
Finally, the increased concentrations of C4a found in patients with more advanced HCC reinforce the hypothesis that this may be a reliable biomarker in patients with end stage liver disease related to HCV and alcohol.			Y	Y	TRUE	Y		
Abstract The evolution of increased competitive ability hypothesis (EICA) predicts that when alien plants are free from their natural enemies they evolve lower allocation to defense in order to achieve a higher growth rate.	N	prediction doesnt imply accuracy			TRUE			
Beyond testing this key prediction, we used our word-count data to explore several other questions that are relevant to the FAB hypothesis (e.g., is there bias in attributions of brilliance?).			Y	Y	TRUE	Y	testing	
The central element of the hypothesis tested in this section is that soil moisture at the end of spring can impact river flows in summer through a modification of the part of precipitation that contributes to runoff.			Y	Y	TRUE	Y	testing	
They further claim studies on brand choice are scattered across time, sector and places; and eventually developed a grand model for the discussion on brand choice which tested fourteen hypotheses as antecedents of brand choice.	N			Y	FALSE	 		
The hypothesis of neutrality is rejected by Tajima''s D under those models assuming magnitudes of growth greater than 1.3, from an ancient effective population size of 10,000, beginning more than about 65,000 years ago.			Y	Y	TRUE	Y		
We then draw a sample from the empirical distribution in order to create a bootstrap sample, which used to calculate the lr statistic of the estimated tar model under the null and alternative hypothesis , respectively.	?		?		FALSE	 		
In keeping with the reverse migration hypothesis , American citizenship was associated with higher odds of functional limitations for Mexican American immigrants and non-Hispanic White immigrants but not for Cuban immigrants ( Table 7 ).	N			Y	FALSE	Y		
The above experiments show a positive relationship between putrescine titer in leaves, altered by depletion, infiltration, or mutation, and the fraction of pmf stored as Dy, consistent with the BWB hypothesis .			Y	Y	TRUE	Y		
According to this hypothesis , the first vicariant event associated with the break up of the Gondwanan supercontinent was the separation of Australia and New Zealand from the remaining landmasses (Upper Jurassic-Early Cretaceous).	N				TRUE			
For this random search problem, the Lévy walk hypothesis claims that Lévy walk movement patterns (i.e., each step length follows a distribution that is heavy-tailed) enable the searcher to capture more targets.	N				TRUE			
If alternative hypothesis is denied, it means that the spectrum component of the original signal g(t) at the frequency f is not similar to that of the reference signal n(t).	N			Y	FALSE	 		
Confirming hypothesis 3, the OR was 2.0 for Pa in sample I and 1.6 for PENonPa, and in sample II the OR for Pa was 6.2 and 3.3 for PENonPa.			Y	Y	TRUE	Y		
Of the 2143 sites considered, few (37) had P values less than 0.05; after correcting for multiple hypothesis testing using the false discovery rate method, no site yielded any statistically significant improvement.	?		?	Y	FALSE	 		
The dAdd1 proteins interact directly with the dAtrxL protein To test the proposed interaction hypothesis , we performed co-immunoprecipitation experiments using different antibodies generated against the dAdd1 proteins and dAtrxL (see Materials and Methods).	?		?	Y	FALSE	Y	testing	
The fifth hypothesis: The effect of the number of branches (BRANCH) on bank deposit The fifth hypothesis of this survey studies the relationship between bank deposit and the number of branches (BRANCH).	N				TRUE			
These assumptions are crucial in order to properly test the verbal model; if they do not match the intent of the verbal hypothesis , then the mathematical model is not a true test of the verbal one.	N	model is the subject I think		Y	FALSE	 		
However, this hypothesis does not hold for the older children whose trigram learning performance varied depending on the instructions received at test, despite the fact that the two conditions both followed the same implicit exposure phase.			Y	Y	TRUE	Y		
Since the time of Sturtevant, geneticists as well had been doing mutant screens and maps that were undertaken not to test hypotheses in the first instance, but to gather grist for the mill of hypothesis generation.	N			Y	FALSE	 		
To test our first hypothesis – that management practices have influenced N availability in P. resinosa in this watershed – we employed four statistical analyses to detect temporal breakpoints in the wood δ 15 N time series.			Y	Y	TRUE	Y	testing	
In agreement with this hypothesis , this work shows that SigA binds to epithelial HEp-2 cells as well as being able to induce fodrin degradation in vitro and in situ, further extending its documented role in virulence.			Y	Y	TRUE	Y		
While most ontology-based applications in biology utilize ontologies to analyze or describe biological data, knowledge-based applications can utilize the knowledge contained in the ontologies themselves to discover new knowledge, verify novel findings, or develop hypotheses .	N			Y	FALSE	 		
The t-value was statistically significant at less than 1% level thus leading us to reject the null hypothesis Ho3, that is, the mean score of perceptions regarding teaching instructions and strategies was not statistically significant.			Y	Y	TRUE	Y		
Rayleigh distribution of DBASes of Kharkiv PT The hypothesis of correspondence between Rayleigh and DBASes distributions was correct for all the cities that confirms both the randomness of stops distribution over the city area and proper theoretical background.			Y	Y	TRUE	Y		
This effect could be a consequence of the reduced levels of C24-CoA but we cannot discard the hypothesis that AccD5 and AccE5 have an additional role in the carboxylation of C24-CoA together with the ACCase 4 complex.	?		?	Y	FALSE	Y		
For a cubical array of buildings (a hypothesis assumed by Macdonald et al., 1998, for the calculation of the displacement height d), Castro and Robins (1977) proposed Whr ≈ 2.	N				TRUE			
As discussed above, many pieces of evidence that showed the involvement of the visual areas in processing nonvisual inputs in both the SC and EB may support the supramodal hypothesis (see Sections 2.1 and 2.2).			Y	Y	TRUE	Y		
Therefore, the main hypothesis of the survey has been confirmed. 3.1.1 The first sub-hypothesis: The relationship between equity and human capital The first sub-hypothesis of the survey studies the relationship between equity and human capital.			Y	Y	TRUE	Y		
In Sect. 3.3, the analysis is extended to other types of IN like glasses, volcanic ash, and SnomaxTM . Section 4 concludes by making suggestions for studies to further explore the hypothesis of PCF.	N			Y	FALSE	 		
We tested the hypothesis of toxicity by repeating the drop tests on a rich medium (YP, yeast extract plus peptone) supplemented with hydrophobic compounds (Figure 2, Figure 3 and additional Figure S2).		test implies some accuracy forseen	Y	Y	TRUE	Y	testing	
More specifically the description of Tallberg 2002: 24 of the four-step casual chain of supranational delegation will be used 2 . The approach, however, remains focused on the legal institutional perspective of the subject 3 . This broad historical account allows for the parallel exploration of both hypotheses .	N				TRUE			
Denote and rewrite the network ( 1 ) as follows: Therefore, where Noticing that and we have Let ; it can be seen that is independent of . In order to utilize the QUAD condition, a Lyapunov function is defined as follows, The derivative of with respect to time is as follows: Noticing that , we have which together with hypothesis leads to Noticing the equality ( 8 ), that is, , where , we have The proof will be completed by showing that and as follows.	N			?	FALSE	 		
This outcome has been the starting point for a more detailed study in order to verify whether (i) the adopted conventional method had succeeded in removing some unwanted sources which may have biased the analysis; and in case of success, (ii) whether the suggestive hypothesis about their possible seismogenic origin may have a foundation.	?		?	Y	FALSE	 		
The hypothesis that "the lack of a psychological existence for the EU may be one of the factors responsible for a weak level of identification with it" (Castano et al., 2003, p. 53) seems plausible in light of other related empirical evidence stemming from social-psychological experimental work.			Y	Y	TRUE	Y		
However, while the value of dynamical downscaling as a tool for hypothesis testing cannot be denied (despite news articles such as Kerr, 2013), the propagation of uncertainty (Sain et al., 2011) remains a challenge for projections.	N			Y	FALSE	 		
Abstract Background: Diverse clinical features have been reported in human African trypanosomiasis (HAT) foci caused by Trypanosoma brucei rhodesiense (T.b.rhodesiense) giving rise to the hypothesis that HAT manifests as a chronic disease in South-East African countries and increased in virulence towards the North.	?		?		FALSE	 		
Let . We assert that contains at most one point under the hypothesis made upon the set . To do this, let . Then, from the proof of Theorem 8 (i), one has that hence, by Proposition 1 (ii).	N			?	FALSE	 		
The rows and columns of the matrix represent each of the 35 resistance hypotheses (Table 1), with the bottom two rows representing the two null models of isolation by barrier (rd) and isolation by distance (ed).	N				TRUE			
A third possible null model, here called Q 3 , is the "nested null hypothesis ", where differential expression of the genes in the gene set is compared to the differential expression of all genes under consideration (both inside and outside the gene set).	N			Y	FALSE	 		
To assess the evolutionary forces leading to the high mutational diversity that gave rise to the sub-species structure of B. bacilliformis, we performed simulation of mutations under the null hypothesis of no selection to examine two contrasting possibilities.			Y	Y	TRUE	Y	testing	
In another proposed randomized controlled clinical trial in working-age patients with chronic low back pain,46 three treatment strategies are to be compared: 1) intensive and multidisciplinary program conducted in a rehabilitation center, 2) less intensive outpatient program conducted by a private physiotherapist, and 3) a mixed strategy combining the same outpatient program with a multidisciplinary intervention – the hypothesis is that a multidisciplinary approach will be the key feature of success in reducing social and occupational impairment.			Y	Y	TRUE	 		
